Sifra;NazivRobe;Kolicina;MPC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SE0349;ŠIPKA NAVOJ FI-6;1.00;1.15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
110429;KABAL PP-Y 5X6;416.00;6.95                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
LV510335;PREKIDAÈ 3P3D TM63D CVS100F;2.00;281.75                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LV510337;PREKIDAÈ 3P3D TM100D CVS100F;1.00;177.55                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
LV525333;PREKIDAÈ 3P3D TM250D CVS250F;1.00;370.05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
RXM4AB1B7;RELEJ MINIJATURNI 4P 24V AC;19.00;9.85                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
RXM4AB1BD;RELEJ MINIJATURNI 4P 24V DC;6.00;9.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
RXM4AB1P7;RELEJ MINIJATURNI 4P 230V AC;14.00;10.80                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
RXZE2M114M;PODNOŽJA RXM 2P/4P;20.00;5.35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
NSYCRN106250;CRN ORMAR V1000X600X250;2.00;237.90                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
NSYCRN108250;CRN ORMAR V1000X800X250;3.00;272.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
NSYMM108;MONTAŽNA PLOÈA 1000X800;3.00;80.80                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
R9XFH357;SABIRNICA VILIÈASTA 3P 57X18MM 63A 1M;16.50;36.85                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TM11PWIN05;TIPKA MO PW 1M IND. VENTILATOR;6.00;1.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
TM11PWIN07;TIPKA MO PW 1M IND. GRIJALICA;16.00;1.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SE0336;UBODNA ŠTEDNA T 26W/840/2P;1.00;11.70                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SE0426;UGRADNI DOWNL. INTRO IP65 GU10;1.00;18.25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
XB5AW73731M5;KOMPLETNO DVOSTRUKO TIPKALO PLASTIÈNO;16.00;36.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
KE39PW;PRIKLJ. CAT5E KS DVOSTRUKA 2XRJ45 8/8 PW;4.00;16.75                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
OE40PW;OKVIR EKONOMIK 4 HOR. PW;1.00;2.75                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
OS24PW;OKVIR SOFT 2X2M PW;1.00;3.15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
IA10OR;NEONSKA TINJALICA 220V~0,34W OR;58.00;2.30                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
TM12PWIN07;TIPKA MO PW 2M IND. GRIJALICA;1.00;2.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SE0430;FEN ZA BOJU;1.00;50.35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SE0432;KABAL P/F 1 CRNI;100.00;0.35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SE0433;KLIJEŠTA HIDRAULIÈNA;1.00;149.80                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
AC40ES;KUÆIŠTE NO CUBO IP20 4M ES;8.00;9.75                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
000139;KABAL PP/J 5X0,75 A03VV-F;735.00;1.10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
A3200;T ADAPTER SA 3 PRIKLJ. 16A BIJELI;99.00;4.05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
A6523;KUTIJA MONTAŽ. MODE PM3 TROSTRUKA NA;5.00;0.75                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
A6527;KUTIJA MONTAŽ. MODE PM7 SEDMEROSTRUKA ZA U ZID;21.00;3.45                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
A6533;KUTIJA MONTAŽ. MODE VM3 ZA ŠUPLJI ZID;25.00;2.55                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
A6534;KUTIJA MONTAŽ. MODE VM4 ZA ŠUPLJI ZID;3.00;3.55                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A6537;KUTIJA MONTAŽ. MODE VM7 ZA ŠUPLJI ZID;14.00;5.55                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
HMISTU855;PANEL TOUCHSCREEN 5 7;1.00;1132.05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
A30113;UTIKAÈ 2P L CRNI;11.00;2.50                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0300602;STAKLO NITOR TRIM GL-SC GRE;6.00;11.95                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
VE10IW;PRIKLJUÈNICA ŠUKO SA ZAŠT.KONT. IW;4.00;4.45                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SE10IW;SKLOPKA JEDNOPOLNA 10AX IW;4.00;5.30                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
SE0335;PRIKLJUÈNI KABEL H05VV-F 3G2,5/3M;7.00;13.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SE0415;GREBENASTA SKLOPKA GN12-66-P;1.00;53.25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
SE0417;LED TRAKA 24W 3000K LAMPTIME;80.00;7.65                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
SE0418;LED TRAKA 14,4W RGB LAMPTIME;50.00;13.70                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SE0316;NADGRADNA SVJETILJKA 2X36W;1.00;54.85                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
